transaction_id,customer_id,product,category,price,quantity,transaction_date
T100069,C7216,Keyboard,Accessories,1973.91,2,2024-07-29
T100070,C5422,Keyboard,Electronics,1546.77,1,2024-04-13
T100071,C4598,Phone,Accessories,405.44,3,2024-01-25
T100072,C6313,Headphones,Accessories,20.99,4,2024-11-14
T100073,C1916,Monitor,Computing,1632.77,1,2024-06-20
T100074,C4752,Mouse,Electronics,1416.65,3,2024-09-08
T100075,C1525,Headphones,Electronics,1460.72,4,2024-09-13
T100076,C6168,Phone,Accessories,-1544.83,4,2024-06-17
T100077,C7572,Laptop,Electronics,157.35,1,2024-05-11
T100078,C5386,Phone,Accessories,723.35,1,2024-02-22
T100079,C2084,Tablet,Accessories,240.58,4,2024-05-05
T100080,C4456,Monitor,Electronics,1727.58,1,2024-09-22
T100081,C6155,Phone,Accessories,1250.36,4,2024-09-24
T100082,C4483,Monitor,Accessories,668.49,1,2024-08-29
T100083,C9179,Tablet,Electronics,136.48,4,2024-01-19
T100084,C7482,Mouse,Electronics,628.85,2,2024-04-17
T100085,C8517,Mouse,Accessories,657.11,2,2024-01-23
T100086,C3340,Tablet,Accessories,1461.92,3,2024-06-11
T100087,C5339,Keyboard,Accessories,1278.74,3,2024-12-16
T100088,C3287,Monitor,Computing,1775.55,4,2024-04-22
T100089,C5040,Tablet,Electronics,949.71,4,2024-11-23
T100090,C9830,Laptop,Accessories,247.99,3,2024-04-11
T100091,C5304,Headphones,Computing,1429.36,1,2024-04-28
T100092,C8019,Laptop,Computing,1523.96,2,2024-10-12
T100093,C7543,Mouse,Accessories,1126.94,2,2024-12-30
T100094,C6930,Laptop,Accessories,1544.22,3,2024-10-22
T100095,C4593,Mouse,Computing,992.65,4,2024-03-04
T100096,C3266,Keyboard,Computing,1050.24,3,2024-03-05
T100097,C9348,Phone,Accessories,860.81,2,2024-02-17
T100098,C9085,Headphones,Accessories,60.58,3,2024-01-07
T100099,C2489,Tablet,Accessories,224.7,3,2024-05-29
T100100,C1771,Headphones,Electronics,72.54,3,2024-10-29
T100101,C2796,Keyboard,Electronics,1276.46,3,2024-06-07
T100102,C3504,Headphones,Electronics,635.57,2,2024-01-06
T100103,C3621,Laptop,Computing,1022.06,2,2024-04-30
T100104,C7916,Headphones,Computing,1816.06,4,2024-03-05
T100105,C2040,Mouse,Accessories,506.09,2,2024-11-26
T100106,C7304,Monitor,Computing,-826.66,4,2024-05-22
T100107,C7252,Phone,Computing,1513.55,1,2024-10-06
T100108,C8668,Keyboard,Accessories,465.31,2,2024-12-09
T100109,C9669,Monitor,Computing,163.19,3,2024-11-14
T100110,C5119,Mouse,Accessories,586.61,4,2024-12-11
T100111,C1188,Keyboard,Computing,330.83,2,2024-01-02
T100112,C2876,Keyboard,Computing,1860.1,3,2024-01-28
T100113,C9797,Laptop,Accessories,1618.16,4,2024-06-17
T100114,C5371,Mouse,Accessories,1270.47,4,2024-07-22
T100115,,Phone,Computing,,2,2024-04-05
T100116,C2827,Monitor,Electronics,1609.31,4,2024-12-07
T100117,C5808,Mouse,Computing,381.27,2,2024-06-26
T100118,C8123,Laptop,Electronics,1786.19,3,2024-07-27
T100119,C3591,Tablet,Computing,1083.29,1,2024-02-14
T100120,C8433,Monitor,Accessories,1616.81,1,2024-03-21
T100121,C1053,Monitor,Accessories,1793.22,1,2024-01-12
T100122,C5315,Phone,Computing,642.83,1,2024-11-13
T100123,C9201,Phone,Computing,229.0,2,2024-08-28
T100124,C3927,Mouse,Computing,463.59,2,2024-04-19
T100125,C9317,Mouse,Accessories,859.94,3,2024-04-08
T100126,C2743,Phone,Computing,1637.85,2,2024-03-30
T100127,,Keyboard,Electronics,,2,2024-12-20
T100128,,Phone,Electronics,,4,2024-02-03
T100129,C4258,Tablet,Electronics,1026.39,1,2024-08-21
T100130,C3504,Monitor,Electronics,840.65,2,2024-05-18
T100131,C7126,Mouse,Accessories,451.99,2,2024-01-15
T100132,C3646,Monitor,Computing,248.53,1,2024-07-29
T100133,C9837,Headphones,Accessories,681.85,2,2024-06-24
T100134,C9689,Phone,Electronics,1886.39,4,2024-08-14
T100135,C1009,Phone,Accessories,653.17,2,2024-06-24
T100136,C6310,Keyboard,Accessories,1042.39,1,2024-08-01
T100137,C9005,Monitor,Electronics,1409.01,3,2024-02-24
T100138,C1319,Laptop,Accessories,733.62,3,2024-07-25
T100139,,Tablet,Computing,,2,2024-09-10
T100140,C6947,Laptop,Accessories,1925.27,4,2024-04-20
T100141,C6038,Tablet,Accessories,511.05,4,2024-03-10
T100142,C4923,Headphones,Computing,999.52,2,2024-03-30
T100143,C1949,Keyboard,Computing,608.75,1,2024-08-22
T100144,C4946,Phone,Computing,576.83,4,2024-02-19
T100145,C2290,Monitor,Computing,83.41,2,2024-12-22
T100146,C2403,Monitor,Computing,1223.03,3,2024-06-15
T100147,C8962,Headphones,Computing,1010.33,4,2024-06-07
T100148,C2133,Monitor,Accessories,112.44,4,2024-09-13
T100149,C9727,Phone,Electronics,564.51,2,2024-06-06
T100150,C3060,Laptop,Computing,1817.45,1,2024-02-28
T100151,C3103,Keyboard,Computing,486.73,4,2024-02-02
T100152,C8787,Monitor,Accessories,298.34,3,2024-04-08
T100153,C3705,Laptop,Accessories,984.01,4,2024-12-21
T100154,C5342,Tablet,Electronics,1971.44,3,2024-11-20
T100155,C9645,Keyboard,Electronics,491.69,2,2024-01-07
T100156,C7932,Keyboard,Accessories,1347.55,1,2024-03-12
T100157,C4470,Keyboard,Electronics,1525.62,2,2024-04-28
T100158,C9835,Keyboard,Electronics,482.9,1,2024-05-05
T100159,C4295,Laptop,Computing,1459.15,3,2024-03-16
T100160,C6107,Mouse,Computing,741.89,3,2024-11-06
T100161,C7537,Mouse,Computing,1268.29,2,2024-07-07
T100162,C7118,Headphones,Electronics,1270.72,3,2024-10-18
T100163,C8177,Mouse,Accessories,1076.19,3,31-12-2024
T100164,C9479,Headphones,Computing,189.68,2,2024-03-19
T100165,C8397,Tablet,Accessories,1672.25,1,2024-12-16
T100166,C2982,Monitor,Computing,648.35,3,2024-09-12
T100167,C5061,Phone,Computing,381.17,1,2024-10-12
T100168,C4681,Keyboard,Accessories,91.14,4,2024-12-15
T100169,C2049,Laptop,Computing,1185.88,3,2024-09-20
T100170,C6539,Monitor,Electronics,1358.35,4,2024-12-27
T100171,C1344,Laptop,Computing,43.01,4,2024-02-28
T100172,C4770,Laptop,Accessories,1029.07,3,2024-11-13
T100173,C4608,Keyboard,Accessories,460.73,3,2024-02-20
T100174,C1117,Headphones,Electronics,1293.89,2,2024-03-04
T100175,C2163,Keyboard,Accessories,356.99,3,2024-06-24
T100176,C1964,Tablet,Computing,1384.97,1,2024-06-09
T100177,C4750,Laptop,Computing,779.6,4,2024-02-23
T100178,C2104,Tablet,Electronics,1874.09,3,2024-11-06
T100179,C1514,Headphones,Computing,283.67,4,2024-03-16
T100180,C6413,Laptop,Computing,688.72,2,2024-06-25
T100181,C2160,Headphones,Accessories,235.81,3,2024-01-27
T100182,C9423,Laptop,Computing,1850.14,1,2024-10-28
T100183,C4899,Monitor,Electronics,1755.91,2,2024-11-05
T100184,C5562,Headphones,Computing,523.3,4,2024-02-19
T100185,C8953,Mouse,Accessories,1323.37,2,2024-09-07
T100186,,Laptop,Electronics,,2,2024-03-03
T100187,C9834,Keyboard,Computing,1114.85,1,2024-07-04
T100188,C3167,Laptop,Electronics,1064.0,1,2024-07-29
T100189,C8744,Laptop,Computing,491.29,3,2024-08-14
T100190,,Monitor,Computing,,1,2024-10-17
T100191,C8749,Mouse,Electronics,1795.46,3,2024-06-16
T100192,C7669,Keyboard,Electronics,1801.83,4,2024-02-18
T100193,C4119,Headphones,Electronics,1269.87,2,2024-08-16
T100194,C2545,Mouse,Electronics,684.67,1,2024-05-05
T100195,C2588,Keyboard,Computing,704.93,3,2024-06-27
T100196,C8062,Mouse,Accessories,1454.65,2,2024-11-08
T100197,C6804,Tablet,Accessories,1795.25,4,2024-03-29
T100198,C7939,Tablet,Electronics,1775.3,3,2024-08-25
T100199,C7735,Headphones,Accessories,1561.95,1,2024-03-10
T100200,C8651,Laptop,Computing,1287.64,3,2024-07-07
T100201,,Phone,Electronics,,3,2024-08-28
T100202,C2612,Keyboard,Accessories,331.64,2,2024-12-21
T100203,C1993,Monitor,Computing,1798.12,4,2024-04-21
T100204,C7596,Tablet,Computing,1216.79,2,2024-02-23
T100205,C6559,Tablet,Computing,28.3,3,2024-01-16
T100206,C2790,Monitor,Computing,211.93,1,2024-01-26
T100207,C5073,Tablet,Computing,1330.37,2,2024-11-08
T100208,C4139,Mouse,Computing,20.07,1,2024-06-12
T100209,C4116,Tablet,Computing,330.01,3,2024-06-15
T100210,C9786,Phone,Computing,1101.98,4,2024-01-20
T100211,C8350,Monitor,Electronics,1386.87,3,2024-04-17
T100212,C3296,Phone,Computing,1307.4,3,2024-12-20
T100213,C7912,Phone,Computing,456.3,1,2024-05-27
T100214,C4006,Mouse,Accessories,1427.24,1,2024-11-08
T100215,C5563,Headphones,Accessories,482.13,4,2024-01-12
T100216,C8579,Mouse,Accessories,657.55,1,2024-03-22
T100217,C5092,Keyboard,Computing,1495.52,4,2024-09-13
T100218,C2235,Keyboard,Computing,1302.77,1,2024-01-01
T100219,C8260,Mouse,Accessories,1699.95,4,2024-11-01
T100220,C2604,Laptop,Electronics,1318.65,4,2024-11-06
T100221,C1828,Laptop,Electronics,1140.93,2,2024-06-09
T100222,C9856,Headphones,Accessories,196.41,1,2024-07-30
T100223,C1241,Laptop,Computing,741.75,1,2024-08-13
T100224,C2528,Mouse,Computing,537.75,3,2024-04-13
T100225,C4872,Tablet,Computing,495.54,3,2024-08-05
T100226,C3724,Headphones,Accessories,1946.29,2,2024-03-19
T100227,C7658,Headphones,Electronics,792.26,2,2024-12-03
T100228,C8956,Headphones,Accessories,1785.17,2,2024-08-07
T100229,C8886,Tablet,Accessories,1265.97,4,2024-02-20
T100230,C4502,Monitor,Accessories,1591.67,3,2024-09-01
T100231,C7570,Monitor,Electronics,1010.25,3,2024-02-16
T100232,C1960,Keyboard,Electronics,1158.04,1,2024-11-23
T100233,C3697,Headphones,Electronics,990.11,3,2024-10-21
T100234,C7209,Laptop,Accessories,398.53,4,2024-04-08
T100235,C1035,Tablet,Electronics,1447.68,4,2024-02-08
T100236,C7396,Mouse,Accessories,568.74,3,2024-12-26
T100237,C5345,Laptop,Electronics,58.39,1,2024-06-20
T100238,C8454,Monitor,Computing,1294.49,2,2024-02-28
T100239,C5673,Headphones,Accessories,362.45,3,2024-08-04
T100240,C7930,Keyboard,Accessories,1881.51,2,2024-11-16
T100241,C8973,Headphones,Computing,1908.32,2,2024-07-20
T100242,C3536,Headphones,Accessories,1830.58,4,2024-06-06
T100243,C4111,Keyboard,Accessories,746.62,3,31-12-2024
T100244,C5861,Headphones,Electronics,40.76,1,2024-07-18
T100245,C4566,Tablet,Accessories,1857.35,2,2024-05-10
T100246,C1958,Headphones,Computing,862.09,2,2024-02-14
T100247,C9883,Monitor,Computing,1933.64,4,2024-12-12
T100248,C1998,Headphones,Computing,1927.6,1,2024-04-11
T100249,C6138,Phone,Computing,1707.49,4,2024-04-15
T100250,C1936,Tablet,Electronics,595.95,1,2024-08-01
T100251,C1821,Mouse,Computing,776.34,3,2024-08-29
T100252,C8811,Keyboard,Accessories,1703.76,3,31-12-2024
T100253,C9238,Laptop,Computing,640.67,2,2024-12-09
T100254,C9701,Phone,Accessories,347.29,1,2024-12-13
T100255,C3579,Phone,Accessories,1118.03,3,2024-08-23
T100256,C1931,Monitor,Accessories,1872.95,4,2024-04-03
T100257,C9320,Phone,Computing,1395.1,2,2024-12-09
T100258,C2312,Laptop,Computing,1144.42,2,2024-09-05
T100259,C4044,Laptop,Computing,203.38,3,2024-12-19
T100260,C2122,Keyboard,Accessories,1233.86,3,2024-05-25
T100261,C2113,Mouse,Computing,1980.21,2,2024-04-20
T100262,C4853,Headphones,Computing,288.77,3,2024-07-01
T100263,C7615,Phone,Electronics,1041.48,1,2024-02-09
T100264,C2964,Phone,Accessories,1755.97,3,2024-02-13
T100265,C5033,Tablet,Accessories,1484.13,2,2024-04-29
T100266,C1651,Laptop,Computing,1397.06,4,2024-11-28
T100267,C2343,Laptop,Accessories,1407.94,4,2024-12-02
T100268,C7868,Mouse,Accessories,725.39,1,2024-03-04
T100269,C9565,Phone,Electronics,594.25,3,2024-10-17
T100270,C6183,Monitor,Computing,1620.63,2,2024-01-13
T100271,C5272,Tablet,Accessories,1622.13,2,2024-12-24
T100272,C4346,Tablet,Computing,1735.47,1,2024-08-05
T100273,C6147,Mouse,Electronics,1827.35,1,2024-03-20
T100274,C4910,Laptop,Computing,1027.57,3,2024-05-20
T100275,C5351,Mouse,Electronics,1008.02,3,2024-06-07
T100276,C7484,Headphones,Electronics,1598.61,1,2024-01-01
T100277,C3144,Monitor,Computing,1303.43,1,2024-05-21
T100278,C5915,Keyboard,Computing,1406.91,1,2024-05-01
T100279,C8491,Monitor,Accessories,1593.63,3,2024-11-25
T100280,C6180,Monitor,Computing,1781.11,4,2024-08-21
T100281,C2188,Mouse,Electronics,682.61,2,2024-04-25
T100282,C1152,Headphones,Electronics,757.41,1,2024-10-02
T100283,C8508,Headphones,Accessories,197.02,1,2024-02-18
T100284,C2638,Keyboard,Electronics,1160.78,4,2024-09-09
T100285,C2200,Tablet,Computing,81.53,3,2024-11-26
T100286,C9808,Laptop,Accessories,936.54,4,2024-09-19
T100287,C4492,Laptop,Electronics,1089.86,1,2024-05-04
T100288,C9288,Monitor,Electronics,580.22,4,2024-08-26
T100289,C5345,Monitor,Accessories,1185.76,3,2024-04-03
T100290,C3170,Monitor,Accessories,70.7,1,2024-08-15
T100291,C6718,Monitor,Accessories,84.32,1,2024-11-19
T100292,C2127,Laptop,Computing,1646.98,3,2024-01-28
T100293,C5002,Monitor,Accessories,726.78,4,2024-05-26
T100294,C7054,Monitor,Electronics,262.85,3,2024-05-23
T100295,C5669,Monitor,Electronics,1049.26,1,2024-09-09
T100296,C3584,Phone,Electronics,1542.29,1,2024-03-13
T100297,C8179,Tablet,Accessories,439.48,2,2024-11-28
T100298,C9900,Laptop,Electronics,1249.55,3,2024-02-18
T100299,C5956,Laptop,Electronics,179.84,3,2024-01-15
T100300,,Tablet,Accessories,,4,2024-02-10
T100301,C1128,Mouse,Computing,1067.4,3,2024-05-18
T100302,C5905,Headphones,Accessories,1085.86,3,2024-11-14
T100303,C2697,Tablet,Electronics,1278.49,3,2024-04-16
T100304,,Mouse,Electronics,,4,2024-10-13
T100305,C5333,Mouse,Computing,1951.95,2,2024-01-07
T100306,C2891,Laptop,Computing,1037.44,3,2024-01-13
T100307,C2753,Keyboard,Accessories,-652.68,2,2024-10-11
T100308,C3546,Phone,Electronics,1592.42,4,2024-10-25
T100309,,Keyboard,Computing,,4,2024-01-09
T100310,C5616,Laptop,Computing,883.55,4,2024-12-27
T100311,C4450,Monitor,Computing,166.13,4,2024-12-20
T100312,C6617,Phone,Computing,60.45,1,2024-07-15
T100313,C4335,Laptop,Computing,1925.67,3,2024-07-30
T100314,C5325,Tablet,Computing,1673.6,2,2024-01-01
T100315,C9280,Phone,Computing,1394.99,2,2024-08-09
T100316,C9004,Tablet,Accessories,823.82,1,2024-06-29
T100317,C5114,Monitor,Electronics,354.86,2,2024-09-09
T100318,C1832,Tablet,Electronics,321.31,3,2024-12-15
T100319,C2512,Mouse,Electronics,507.98,1,2024-01-08
T100320,C7939,Monitor,Computing,1102.96,1,2024-09-26
T100321,C5533,Keyboard,Computing,1432.05,1,2024-09-26
T100322,C1722,Keyboard,Accessories,1323.79,4,2024-05-10
T100323,C1058,Headphones,Accessories,567.07,1,2024-02-25
T100324,C6464,Mouse,Electronics,1910.18,1,2024-12-21
T100325,C3143,Laptop,Electronics,1478.41,4,2024-04-08
T100326,C5291,Phone,Electronics,1113.16,1,2024-11-26
T100327,C3647,Keyboard,Electronics,1227.32,2,2024-07-12
T100328,,Monitor,Accessories,,3,2024-02-20
T100329,C8007,Tablet,Computing,502.98,2,2024-01-27
T100330,C1158,Mouse,Computing,718.39,4,2024-07-01
T100331,C2832,Mouse,Accessories,1518.11,4,2024-11-14
T100332,C2232,Headphones,Electronics,38.64,3,2024-11-30
T100333,C3442,Mouse,Computing,240.98,3,2024-11-20
T100334,C9938,Keyboard,Computing,101.55,1,2024-01-15
T100335,C1590,Monitor,Accessories,91.05,3,2024-03-14
T100336,C7049,Mouse,Electronics,1712.37,3,2024-09-27
T100337,C3426,Headphones,Electronics,1410.28,2,2024-01-12
T100338,C8041,Monitor,Computing,953.61,3,2024-03-17
T100339,C3088,Monitor,Electronics,204.69,4,2024-05-16
T100340,C1685,Mouse,Accessories,988.32,3,2024-01-21
T100341,C6050,Monitor,Accessories,952.21,1,2024-02-19
T100342,C6974,Monitor,Electronics,354.67,2,2024-10-25
T100343,C1653,Keyboard,Computing,873.36,3,2024-06-23
T100344,C6862,Phone,Accessories,803.02,4,2024-03-03
T100345,C4441,Laptop,Electronics,1235.54,3,2024-06-14
T100346,C5088,Laptop,Electronics,1273.84,3,2024-09-20
T100347,C2684,Keyboard,Computing,100.15,1,2024-11-12
T100348,C6794,Keyboard,Computing,755.48,4,2024-03-01
T100349,C7658,Monitor,Electronics,1255.46,0,2024-10-31
T100350,C3532,Headphones,Electronics,1011.24,3,2024-05-22
T100351,C4878,Monitor,Computing,1714.41,1,2024-07-30
T100352,C3662,Keyboard,Electronics,1320.8,3,2024-08-28
T100353,C3900,Monitor,Electronics,334.24,2,2024-10-19
T100354,C7755,Headphones,Electronics,150.43,3,2024-07-11
T100355,C1406,Tablet,Accessories,1288.41,3,2024-06-12
T100356,C3938,Headphones,Accessories,62.76,1,2024-02-01
T100357,C6442,Keyboard,Computing,1175.69,1,2024-07-28
T100358,C7745,Keyboard,Electronics,1881.06,2,2024-04-16
T100359,C5065,Monitor,Accessories,1155.19,2,2024-09-09
T100360,C5371,Keyboard,Electronics,782.46,3,2024-10-04
T100361,C3608,Tablet,Computing,1290.14,4,2024-10-29
T100362,C2771,Keyboard,Computing,921.92,2,2024-06-26
T100363,C7267,Tablet,Electronics,1095.78,2,2024-03-22
T100364,C1634,Mouse,Computing,1883.51,2,2024-06-20
T100365,C8711,Keyboard,Computing,778.34,2,2024-03-09
T100366,C4644,Tablet,Computing,1922.77,4,2024-09-04
T100367,C4269,Headphones,Accessories,1811.65,1,2024-07-17
T100368,C8541,Headphones,Accessories,399.62,4,2024-11-02
T100369,C6728,Keyboard,Accessories,148.03,3,2024-09-10
T100370,C6000,Monitor,Computing,210.55,2,2024-03-21
T100371,C4728,Monitor,Accessories,46.26,1,2024-02-09
T100372,C4652,Laptop,Accessories,197.94,2,2024-01-10
T100373,C1387,Tablet,Electronics,1369.18,1,2024-07-20
T100374,C4164,Monitor,Computing,151.67,3,2024-12-03
T100375,C7528,Mouse,Accessories,644.76,2,2024-07-10
T100376,C6378,Keyboard,Electronics,1691.3,1,31-12-2024
T100377,C5564,Headphones,Accessories,56.31,2,2024-04-29
T100378,C2137,Tablet,Computing,1630.79,1,2024-08-11
T100379,C5573,Monitor,Computing,570.89,2,2024-03-30
T100380,C6753,Tablet,Computing,245.15,3,2024-05-24
T100381,C9346,Headphones,Computing,1396.51,2,2024-08-30
T100382,C7548,Mouse,Accessories,1261.6,1,2024-04-13
T100383,C9785,Keyboard,Electronics,1756.17,3,2024-05-20
T100384,C6425,Monitor,Accessories,1472.79,1,2024-06-19
T100385,C1452,Keyboard,Computing,1608.93,4,2024-01-15
T100386,C2889,Monitor,Electronics,571.25,3,2024-05-14
T100387,C5279,Keyboard,Computing,363.1,1,2024-03-02
T100388,C3925,Monitor,Accessories,1503.72,4,2024-01-31
T100389,C5349,Laptop,Computing,1615.6,4,2024-04-30
T100390,C1626,Phone,Electronics,1981.11,3,2024-03-31
T100391,C2776,Headphones,Electronics,831.11,4,2024-10-27
T100392,C8119,Tablet,Computing,750.32,4,2024-04-10
T100393,C6663,Phone,Accessories,1555.06,2,2024-05-15
T100394,C6139,Monitor,Electronics,688.2,3,2024-03-12
T100395,C8149,Phone,Accessories,1862.21,1,2024-12-30
T100396,C9379,Monitor,Electronics,1718.24,2,2024-04-25
T100397,C2894,Keyboard,Accessories,863.7,2,2024-04-20
T100398,C7311,Keyboard,Accessories,1504.23,2,2024-07-07
T100399,,Phone,Computing,,1,2024-07-04
T100400,C5173,Monitor,Accessories,215.22,2,2024-12-08
T100401,C1727,Monitor,Computing,1806.08,4,2024-12-11
T100402,C8144,Laptop,Electronics,1015.45,3,2024-02-17
T100403,C1027,Monitor,Computing,1654.65,2,2024-10-16
T100404,C9518,Mouse,Accessories,646.9,3,2024-08-17
T100405,C9821,Tablet,Computing,1792.09,4,2024-08-08
T100406,C4228,Laptop,Computing,-784.51,3,2024-10-10
T100407,C6967,Keyboard,Accessories,31.57,3,2024-09-03
T100408,C8066,Keyboard,Accessories,1811.71,1,2024-04-29
T100409,C2146,Monitor,Electronics,191.66,3,2024-12-06
T100410,C6409,Headphones,Accessories,645.43,2,2024-07-07
T100411,C6143,Phone,Accessories,1900.62,1,2024-12-19
T100412,C3041,Keyboard,Electronics,1901.71,3,2024-01-23
T100413,,Headphones,Electronics,,2,2024-05-01
T100414,C9308,Laptop,Electronics,1267.36,2,2024-06-10
T100415,C6067,Mouse,Computing,902.41,3,2024-09-18
T100416,C7691,Tablet,Accessories,593.49,2,2024-02-12
T100417,C6344,Tablet,Computing,664.04,3,2024-06-13
T100418,C7592,Mouse,Computing,1348.31,3,2024-07-03
T100419,C5844,Phone,Accessories,1507.23,3,2024-04-10
T100420,C3085,Keyboard,Accessories,1585.24,2,2024-06-19
T100421,C4143,Tablet,Computing,1581.34,1,2024-06-04
T100422,C7888,Headphones,Electronics,191.5,4,2024-11-28
T100423,C7211,Laptop,Computing,993.9,4,2024-06-27
T100424,C3851,Headphones,Electronics,124.54,4,2024-09-18
T100425,C5930,Keyboard,Computing,1103.56,4,2024-08-16
T100426,C7653,Keyboard,Accessories,888.65,3,2024-08-12
T100427,C9977,Mouse,Computing,1776.53,3,2024-02-12
T100428,C1006,Mouse,Electronics,708.32,1,2024-01-30
T100429,C5978,Phone,Computing,242.96,4,2024-05-23
T100430,C5700,Mouse,Accessories,294.55,2,2024-05-30
T100431,C4443,Phone,Computing,1525.41,1,2024-11-12
T100432,C8043,Monitor,Accessories,1240.25,4,2024-08-20
T100433,C6279,Keyboard,Electronics,211.23,2,2024-10-18
T100434,C8618,Phone,Accessories,177.37,2,2024-10-01
T100435,C8238,Keyboard,Electronics,1404.93,3,2024-06-20
T100436,C8244,Mouse,Electronics,154.8,2,2024-10-16
T100437,C4501,Monitor,Electronics,1645.5,3,2024-11-26
T100438,C9375,Keyboard,Accessories,1415.42,2,2024-03-11
T100439,C8752,Keyboard,Computing,-171.88,1,2024-04-03
T100440,C3780,Phone,Computing,178.83,2,2024-06-28
T100441,C2389,Keyboard,Accessories,1973.41,1,2024-12-15
T100442,C5649,Tablet,Electronics,754.8,2,2024-07-10
T100443,C9445,Monitor,Electronics,747.58,4,2024-07-04
T100444,C6491,Laptop,Accessories,1627.47,4,2024-04-10
T100445,C2530,Monitor,Electronics,1895.02,1,2024-03-05
T100446,C4848,Headphones,Accessories,1972.14,2,2024-10-15
T100447,,Laptop,Accessories,,2,2024-01-26
T100448,C4680,Phone,Accessories,758.76,3,2024-10-05
T100449,C4262,Tablet,Computing,176.17,1,2024-12-17
